1, a, north
1, a, north
1, b, north
1, b, east
2, b, east
3, b, east
3, b, north
3, c, north
3, d, north
5, e, west
4, e, west
3, e, west
3, e, south
3, d, south
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, d, north
2, e, north
2, e, west
1, e, west
1, a, north
1, b, north
1, b, east
2, b, east
3, b, east
3, b, north
3, c, north
3, d, north
1, a, north
1, b, north
1, b, east
2, b, east
3, b, east
4, b, east
5, b, east
5, b, north
5, c, north
5, d, north
5, e, north
5, e, north
5, e, west
4, e, west
3, e, west
2, e, west
1, e, west
1, e, south
1, d, south
1, c, south
1, c, east
2, c, east
2, c, south
2, b, south
2, a, south
2, a, west
1, a, west
1, a, west
1, a, north
1, b, north
1, b, east
2, b, east
3, b, east
3, b, north
3, c, north
3, d, north
3, d, north
3, d, east
4, d, east
5, d, east
5, d, south
5, c, south
5, b, south
5, a, south
5, a, south
5, a, west
4, a, west
3, a, west
3, a, north
3, b, north
3, c, north
3, d, north
3, e, north
3, e, west
2, e, west
1, e, west
1, e, west
1, e, west
1, e, south
1, d, south
1, c, south
1, c, east
2, c, east
2, c, south
2, b, south
2, b, south
2, b, east
3, b, east
3, b, north
3, c, north
3, d, north
3, e, north
3, e, north
3, e, east
4, e, east
1, a, north
1, b, north
1, b, east
2, b, east
3, b, east
4, b, east
4, b, north
4, c, north
4, d, north
4, d, north
4, d, west
3, d, west
3, d, south
3, c, south
3, b, south
3, b, west
2, b, west
1, b, west
1, b, west
1, b, north
1, b, east
2, b, east
3, b, east
4, b, east
5, b, east
5, b, north
5, c, north
5, d, north
5, e, north
